date,track,venue,state
2021-08-01,Donald,Donald,VIC
2021-08-01,Sandown-Lakeside,Sandown,VIC
2021-08-01,Sunshine Coast,Sunshine Coast,QLD
2021-08-02,Echuca,Echuca,VIC
2021-08-02,Warwick,Warwick,QLD
2021-08-03,Pakenham Synthetic,Pakenham,VIC
2021-08-04,Eagle Farm,Eagle Farm,QLD
2021-08-04,Moe,Moe,VIC
2021-08-05,Coleraine,Coleraine,VIC
2021-08-06,Ballarat Synthetic,Ballarat,VIC
2021-08-06,Port Augusta,Port Augusta,SA
2021-08-06,Townsville,Townsville,QLD
2021-08-07,Bairnsdale,Bairnsdale,VIC
2021-08-07,Doomben,Doomben,QLD
2021-08-07,Gold Coast,Gold Coast,QLD
2021-08-07,Murray Bridge GH,Murray Bridge GH,SA
2021-08-07,Richmond,Richmond,QLD
2021-08-07,Townsville,Townsville,QLD
2021-08-08,Bendigo,Bendigo,VIC
2021-08-08,Sunshine Coast,Sunshine Coast,QLD
2021-08-09,Mildura,Mildura,VIC
2021-08-10,Ballarat Synthetic,Ballarat,VIC
2021-08-11,Balaklava,Balaklava,SA
2021-08-11,Doomben,Doomben,QLD
2021-08-11,Sandown-Hillside,Sandown,VIC
2021-08-12,Mt Isa,Mt Isa,QLD
2021-08-12,Sale,Sale,VIC
2021-08-13,Geelong,Geelong,VIC
2021-08-13,Ipswich,Ipswich,QLD
2021-08-14,Eagle Farm,Eagle Farm,QLD
2021-08-14,Gold Coast,Gold Coast,QLD
2021-08-14,Morphettville,Morphettville,SA
2021-08-14,Toowoomba,Toowoomba,QLD
2021-08-14,Wodonga,Wodonga,VIC
2021-08-15,Cranbourne,Cranbourne,VIC
2021-08-17,Pakenham Synthetic,Pakenham,VIC
2021-08-18,Doomben,Doomben,QLD
2021-08-18,Gawler,Gawler,SA
2021-08-18,Sandown-Hillside,Sandown,VIC
2021-08-19,Rockhampton,Rockhampton,QLD
2021-08-19,Warrnambool,Warrnambool,VIC
2021-08-20,Bendigo,Bendigo,VIC
2021-08-21,Cairns,Cairns,QLD
2021-08-21,Gympie,Gympie,QLD
2021-08-21,Moonee Valley,Moonee Valley,VIC
2021-08-21,Morphettville,Morphettville,SA
2021-08-21,Toowoomba,Toowoomba,QLD
2021-08-22,Naracoorte,Naracoorte,SA
2021-08-22,Sale,Sale,VIC
2021-08-22,Sunshine Coast,Sunshine Coast,QLD
2021-08-23,Pakenham Synthetic,Pakenham,VIC
2021-08-25,Ipswich,Ipswich,QLD
2021-08-25,Murray Bridge GH,Murray Bridge GH,SA
2021-08-25,Sandown-Lakeside,Sandown,VIC
2021-08-26,Echuca,Echuca,VIC
2021-08-26,Mackay,Mackay,QLD
2021-08-27,Gold Coast,Gold Coast,QLD
2021-08-27,Pakenham Synthetic,Pakenham,VIC
2021-08-28,Cairns,Cairns,QLD
2021-08-28,Caulfield,Caulfield,VIC
2021-08-28,Doomben,Doomben,QLD
2021-08-28,Morphettville Parks,Morphettville,SA
2021-08-28,Toowoomba,Toowoomba,QLD
2021-08-29,Port Augusta,Port Augusta,SA
2021-08-29,Sunshine Coast,Sunshine Coast,QLD
2021-08-30,Benalla,Benalla,VIC
2021-09-01,Doomben,Doomben,QLD
2021-09-01,Gawler,Gawler,SA
2021-09-01,Sandown-Lakeside,Sandown,VIC
2021-09-02,Cranbourne,Cranbourne,VIC
2021-09-03,Bendigo,Bendigo,VIC
2021-09-04,Bundaberg,Bundaberg,QLD
2021-09-04,Gold Coast,Gold Coast,QLD
2021-09-04,Mildura,Mildura,VIC
2021-09-04,Moonee Valley,Moonee Valley,VIC
2021-09-04,Morphettville Parks,Morphettville,SA
2021-09-04,Toowoomba,Toowoomba,QLD
2021-09-05,Casterton,Casterton,VIC
2021-09-05,Geelong,Geelong,VIC
2021-09-05,Murray Bridge GH,Murray Bridge GH,SA
2021-09-06,Emerald,Emerald,QLD
2021-09-06,Wangaratta,Wangaratta,VIC
2021-09-07,Pakenham Synthetic,Pakenham,VIC
2021-09-08,Eagle Farm,Eagle Farm,QLD
2021-09-08,Penola,Penola,SA
2021-09-08,Sandown-Hillside,Sandown,VIC
2021-09-09,Mornington,Mornington,VIC
2021-09-09,Townsville,Townsville,QLD
2021-09-10,Cairns,Cairns,QLD
2021-09-10,Swan Hill,Swan Hill,VIC
2021-09-11,Doomben,Doomben,QLD
2021-09-11,Echuca,Echuca,VIC
2021-09-11,Flemington,Flemington,VIC
2021-09-11,Gold Coast,Gold Coast,QLD
2021-09-11,Goondiwindi,Goondiwindi,QLD
2021-09-11,Morphettville,Morphettville,SA
2021-09-11,Thangool,Thangool,QLD
2021-09-11,Toowoomba,Toowoomba,QLD
2021-09-12,Cranbourne,Cranbourne,VIC
2021-09-12,Donald,Donald,VIC
2021-09-12,Sunshine Coast,Sunshine Coast,QLD
2021-09-13,Moe,Moe,VIC
2021-09-14,Wangaratta,Wangaratta,VIC
2021-09-15,Balaklava,Balaklava,SA
2021-09-15,Ipswich,Ipswich,QLD
2021-09-16,Sale,Sale,VIC
2021-09-17,Eagle Farm,Eagle Farm,QLD
2021-09-17,Geelong,Geelong,VIC
2021-09-18,Caulfield,Caulfield,VIC
2021-09-18,Dalby,Dalby,QLD
2021-09-18,Gold Coast,Gold Coast,QLD
2021-09-18,Gympie,Gympie,QLD
2021-09-18,Morphettville,Morphettville,SA
2021-09-18,Tatura,Tatura,VIC
2021-09-19,Ballarat,Ballarat,VIC
2021-09-19,Halidon,Halidon,SA
2021-09-19,Sunshine Coast,Sunshine Coast,QLD
2021-09-20,Horsham,Horsham,VIC
2021-09-21,Kyneton,Kyneton,VIC
2021-09-22,Doomben,Doomben,QLD
2021-09-22,Flemington,Flemington,VIC
2021-09-23,Cranbourne,Cranbourne,VIC
2021-09-23,Ipswich,Ipswich,QLD
2021-09-24,Coleraine,Coleraine,VIC
2021-09-24,Moonee Valley,Moonee Valley,VIC
2021-09-24,Sunshine Coast,Sunshine Coast,QLD
2021-09-25,Gold Coast,Gold Coast,QLD
2021-09-25,Morphettville Parks,Morphettville,SA
2021-09-25,Toowoomba,Toowoomba,QLD
2021-09-25,Twin Hills,Twin Hills,QLD
2021-09-26,Benalla,Benalla,VIC
2021-09-26,Doomben,Doomben,QLD
2021-09-26,Naracoorte,Naracoorte,SA
2021-09-27,Swan Hill,Swan Hill,VIC
2021-09-28,Kilmore,Kilmore,VIC
2021-09-29,Balaklava,Balaklava,SA
2021-09-29,Geelong,Geelong,VIC
2021-09-29,Ipswich,Ipswich,QLD
2021-09-30,Moe,Moe,VIC
2021-10-01,Echuca,Echuca,VIC
2021-10-01,Moonee Valley,Moonee Valley,VIC
2021-10-01,Townsville,Townsville,QLD
2021-10-02,Doomben,Doomben,QLD
2021-10-02,Eidsvold,Eidsvold,QLD
2021-10-02,Flemington,Flemington,VIC
2021-10-02,Gold Coast,Gold Coast,QLD
2021-10-02,Gordonvale,Gordonvale,QLD
2021-10-02,Jamestown,Jamestown,SA
2021-10-02,Mackay,Mackay,QLD
2021-10-02,Morphettville Parks,Morphettville,SA
2021-10-02,Toowoomba,Toowoomba,QLD
2021-10-03,Bairnsdale,Bairnsdale,VIC
2021-10-03,Bendigo,Bendigo,VIC
2021-10-03,Sunshine Coast,Sunshine Coast,QLD
2021-10-04,Gawler,Gawler,SA
2021-10-05,Mildura,Mildura,VIC
2021-10-05,Rockhampton,Rockhampton,QLD
2021-10-06,Doomben,Doomben,QLD
2021-10-06,Sale,Sale,VIC
2021-10-07,Ipswich,Ipswich,QLD
2021-10-07,Mornington,Mornington,VIC
2021-10-08,Benalla,Benalla,VIC
2021-10-08,Cranbourne,Cranbourne,VIC
2021-10-08,Sunshine Coast,Sunshine Coast,QLD
2021-10-09,Caulfield,Caulfield,VIC
2021-10-09,Eagle Farm,Eagle Farm,QLD
2021-10-09,Gold Coast,Gold Coast,QLD
2021-10-09,Hamilton,Hamilton,VIC
2021-10-09,Morphettville,Morphettville,SA
2021-10-09,Warwick,Warwick,QLD
2021-10-10,Ballarat,Ballarat,VIC
2021-10-10,Donald,Donald,VIC
2021-10-10,Penola,Penola,SA
2021-10-10,Sunshine Coast,Sunshine Coast,QLD
2021-10-11,Echuca,Echuca,VIC
2021-10-12,Kyneton,Kyneton,VIC
2021-10-13,Caulfield,Caulfield,VIC
2021-10-13,Doomben,Doomben,QLD
2021-10-13,Port Lincoln,Port Lincoln,SA
2021-10-14,Townsville,Townsville,QLD
2021-10-14,Warrnambool,Warrnambool,VIC
2021-10-15,Ipswich,Ipswich,QLD
2021-10-15,Murray Bridge GH,Murray Bridge GH,SA
2021-10-15,Pakenham,Pakenham,VIC
2021-10-16,Avoca,Avoca,VIC
2021-10-16,Bendigo,Bendigo,VIC
2021-10-16,Caulfield,Caulfield,VIC
2021-10-16,Gold Coast,Gold Coast,QLD
2021-10-16,Morphettville,Morphettville,SA
2021-10-16,Wondai,Wondai,QLD
2021-10-17,Horsham,Horsham,VIC
2021-10-17,Sunshine Coast,Sunshine Coast,QLD
2021-10-17,Wodonga,Wodonga,VIC
2021-10-18,Mornington,Mornington,VIC
2021-10-19,Hamilton,Hamilton,VIC
2021-10-20,Geelong,Geelong,VIC
2021-10-20,Ipswich,Ipswich,QLD
2021-10-20,Naracoorte,Naracoorte,SA
2021-10-21,Ballarat,Ballarat,VIC
2021-10-22,Echuca,Echuca,VIC
2021-10-22,Gawler,Gawler,SA
2021-10-22,Mackay,Mackay,QLD
2021-10-22,Moonee Valley,Moonee Valley,VIC
2021-10-22,Sunshine Coast,Sunshine Coast,QLD
2021-10-23,Clifton,Clifton,QLD
2021-10-23,Doomben,Doomben,QLD
2021-10-23,Gold Coast,Gold Coast,QLD
2021-10-23,Gympie,Gympie,QLD
2021-10-23,Moonee Valley,Moonee Valley,VIC
2021-10-23,Morphettville Parks,Morphettville,SA
2021-10-23,Toowoomba,Toowoomba,QLD
2021-10-23,Townsville,Townsville,QLD
2021-10-23,Yarra Glen,Yarra Glen,VIC
2021-10-24,Port Lincoln,Port Lincoln,SA
2021-10-24,Sale,Sale,VIC
2021-10-24,St Arnaud,St Arnaud,VIC
2021-10-24,Sunshine Coast,Sunshine Coast,QLD
2021-10-25,Benalla,Benalla,VIC
2021-10-26,Swan Hill,Swan Hill,VIC
2021-10-27,Bendigo,Bendigo,VIC
2021-10-27,Ipswich,Ipswich,QLD
2021-10-27,Murray Bridge GH,Murray Bridge GH,SA
2021-10-28,Warrnambool,Warrnambool,VIC
2021-10-29,Bordertown,Bordertown,SA
2021-10-29,Cranbourne,Cranbourne,VIC
2021-10-29,Kilcoy,Kilcoy,QLD
2021-10-29,Kilmore,Kilmore,VIC
2021-10-30,Beaudesert,Beaudesert,QLD
2021-10-30,Dalby,Dalby,QLD
2021-10-30,Eagle Farm,Eagle Farm,QLD
2021-10-30,Flemington,Flemington,VIC
2021-10-30,Gold Coast,Gold Coast,QLD
2021-10-30,Morphettville,Morphettville,SA
2021-10-30,Traralgon,Traralgon,VIC
2021-10-30,Wycheproof,Wycheproof,VIC
2021-10-31,Cairns,Cairns,QLD
2021-10-31,Mornington,Mornington,VIC
2021-10-31,Mortlake,Mortlake,VIC
2021-11-01,Bairnsdale,Bairnsdale,VIC
2021-11-01,Ballarat,Ballarat,VIC
2021-11-02,Bundaberg,Bundaberg,QLD
2021-11-02,Eagle Farm,Eagle Farm,QLD
2021-11-02,Echuca,Echuca,VIC
2021-11-02,Flemington,Flemington,VIC
2021-11-02,Gold Coast,Gold Coast,QLD
