track,venue,state,location_class,surface,in_scope
Canberra,Canberra,ACT,P,Turf,False
Canberra Acton,Canberra,ACT,P,Turf,False
Adaminaby,Adaminaby,NSW,C,Turf,False
Albury,Albury,NSW,C,Turf,False
Ardlethan,Ardlethan,NSW,C,Turf,False
Armidale,Armidale,NSW,C,Turf,False
Ballina,Ballina,NSW,C,Turf,False
Balranald,Balranald,NSW,C,Turf,False
Barraba,Barraba,NSW,C,Turf,False
Bathurst,Bathurst,NSW,C,Turf,False
Beaumont,Newcastle,NSW,P,Turf,False
Bedgerebong,Bedgerebong,NSW,C,Turf,False
Berrigan,Berrigan,NSW,C,Turf,False
Bingara,Bingara,NSW,C,Turf,False
Binnaway,Binnaway,NSW,C,Turf,False
Bombala,Bombala,NSW,C,Turf,False
Bong Bong,Bong Bong,NSW,C,Turf,False
Boorowa,Boorowa,NSW,C,Turf,False
Bourke,Bourke,NSW,C,Turf,False
Bowraville,Bowraville,NSW,C,Turf,False
Braidwood,Braidwood,NSW,C,Turf,False
Brewarrina,Brewarrina,NSW,C,Turf,False
Broken Hill,Broken Hill,NSW,C,Turf,False
Bundarra,Bundarra,NSW,C,Turf,False
Canterbury,Canterbury,NSW,M,Turf,False
Carinda,Carinda,NSW,C,Turf,False
Carrathool,Carrathool,NSW,C,Turf,False
Casino,Casino,NSW,C,Turf,False
Cessnock,Cessnock,NSW,C,Turf,False
Cobar,Cobar,NSW,C,Turf,False
Coffs Harbour,Coffs Harbour,NSW,C,Turf,False
Collarenebri,Collarenebri,NSW,C,Turf,False
Come By Chance,Come By Chance,NSW,C,Turf,False
Condobolin,Condobolin,NSW,C,Turf,False
Cooma,Cooma,NSW,C,Turf,False
Coonabarabran,Coonabarabran,NSW,C,Turf,False
Coonamble,Coonamble,NSW,C,Turf,False
Cootamundra,Cootamundra,NSW,C,Turf,False
Corowa,Corowa,NSW,C,Turf,False
Cowra,Cowra,NSW,C,Turf,False
Crookwell,Crookwell,NSW,C,Turf,False
Deepwater,Deepwater,NSW,C,Turf,False
Deniliquin,Deniliquin,NSW,C,Turf,False
Dubbo,Dubbo,NSW,C,Turf,False
Enngonia,Enngonia,NSW,C,Turf,False
Forbes,Forbes,NSW,C,Turf,False
Geurie,Geurie,NSW,C,Turf,False
Gilgandra,Gilgandra,NSW,C,Turf,False
Glen Innes,Glen Innes,NSW,C,Turf,False
Gosford,Gosford,NSW,P,Turf,False
Goulburn,Goulburn,NSW,C,Turf,False
Grafton,Grafton,NSW,C,Turf,False
Grenfell,Grenfell,NSW,C,Turf,False
Griffith,Griffith,NSW,C,Turf,False
Gulargambone,Gulargambone,NSW,C,Turf,False
Gulgong,Gulgong,NSW,C,Turf,False
Gundagai,Gundagai,NSW,C,Turf,False
Gunnedah,Gunnedah,NSW,C,Turf,False
Harden,Harden,NSW,C,Turf,False
Hawkesbury,Hawkesbury,NSW,P,Turf,False
Hay,Hay,NSW,C,Turf,False
Hillston,Hillston,NSW,C,Turf,False
Holbrook,Holbrook,NSW,C,Turf,False
Illawarra Grange,Kembla Grange,NSW,P,Turf,False
Inverell,Inverell,NSW,C,Turf,False
Jerilderie,Jerilderie,NSW,C,Turf,False
Kembla Grange,Kembla Grange,NSW,P,Turf,False
Kempsey,Kempsey,NSW,C,Turf,False
Leeton,Leeton,NSW,C,Turf,False
Lightning Ridge,Lightning Ridge,NSW,C,Turf,False
Lismore,Lismore,NSW,C,Turf,False
Lockhart,Lockhart,NSW,C,Turf,False
Louth,Louth,NSW,C,Turf,False
Mallawa,Mallawa,NSW,C,Turf,False
Mendooran,Mendooran,NSW,C,Turf,False
Merriwa,Merriwa,NSW,C,Turf,False
Moree,Moree,NSW,C,Turf,False
Moruya,Moruya,NSW,C,Turf,False
Moulamein,Moulamein,NSW,C,Turf,False
Mudgee,Mudgee,NSW,C,Turf,False
Mungery,Mungery,NSW,C,Turf,False
Mungindi,Mungindi,NSW,C,Turf,False
Murwillumbah,Murwillumbah,NSW,C,Turf,False
Muswellbrook,Muswellbrook,NSW,C,Turf,False
Narrabri,Narrabri,NSW,C,Turf,False
Narrandera,Narrandera,NSW,C,Turf,False
Narromine,Narromine,NSW,C,Turf,False
Newcastle,Newcastle,NSW,P,Turf,False
Nowra,Nowra,NSW,C,Turf,False
Nyngan,Nyngan,NSW,C,Turf,False
Orange,Orange,NSW,C,Turf,False
Parkes,Parkes,NSW,C,Turf,False
Pooncarie,Pooncarie,NSW,C,Turf,False
Port Macquarie,Port Macquarie,NSW,C,Turf,False
Quambone,Quambone,NSW,C,Turf,False
Queanbeyan,Queanbeyan,NSW,C,Turf,False
Quirindi,Quirindi,NSW,C,Turf,False
Randwick,Randwick,NSW,M,Turf,False
Randwick-Kensington,Randwick,NSW,M,Turf,False
Rosehill,Rosehill,NSW,M,Turf,False
Sapphire Coast,Sapphire Coast,NSW,C,Turf,False
Scone,Scone,NSW,C,Turf,False
Tabulam,Tabulam,NSW,C,Turf,False
Talmoi,Talmoi,NSW,C,Turf,False
Tamworth,Tamworth,NSW,C,Turf,False
Taree,Taree,NSW,C,Turf,False
Tocumwal,Tocumwal,NSW,C,Turf,False
Tomingley,Tomingley,NSW,C,Turf,False
Tottenham,Tottenham,NSW,C,Turf,False
Trangie,Trangie,NSW,C,Turf,False
Tullibigeal,Tullibigeal,NSW,C,Turf,False
Tumbarumba,Tumbarumba,NSW,C,Turf,False
Tumut,Tumut,NSW,C,Turf,False
Tuncurry,Tuncurry,NSW,C,Turf,False
Wagga,Wagga,NSW,C,Turf,False
Wagga Riverside,Wagga,NSW,C,Turf,False
Walcha,Walcha,NSW,C,Turf,False
Walgett,Walgett,NSW,C,Turf,False
Warialda,Warialda,NSW,C,Turf,False
Warren,Warren,NSW,C,Turf,False
Warwick Farm,Warwick Farm,NSW,M,Turf,False
Wauchope,Wauchope,NSW,C,Turf,False
Wean,Wean,NSW,C,Turf,False
Wellington,Wellington,NSW,C,Turf,False
Wentworth,Wentworth,NSW,C,Turf,False
Wyong,Wyong,NSW,P,Turf,False
Yass,Yass,NSW,C,Turf,False
Young,Young,NSW,C,Turf,False
Fannie Bay,Fannie Bay,NT,P,Turf,False
Katherine,Katherine,NT,C,Turf,False
Pioneer Park,Pioneer Park,NT,P,Turf,False
Tennant Creek,Tennant Creek,NT,C,Turf,False
Alpha,Alpha,QLD,C,Turf,True
Aramac,Aramac,QLD,C,Turf,True
Atherton,Atherton,QLD,C,Turf,True
Augathella,Augathella,QLD,C,Turf,True
Barcaldine,Barcaldine,QLD,C,Turf,True
Beaudesert,Beaudesert,QLD,C,Turf,True
Bedourie,Bedourie,QLD,C,Turf,True
Bell,Bell,QLD,C,Turf,True
Betoota,Betoota,QLD,C,Turf,True
Birdsville,Birdsville,QLD,C,Turf,True
Blackall,Blackall,QLD,C,Turf,True
Bluff,Bluff,QLD,C,Turf,True
Bowen,Bowen,QLD,C,Turf,True
Bundaberg,Bundaberg,QLD,C,Turf,True
Burrandowan,Burrandowan,QLD,C,Turf,True
Cairns,Cairns,QLD,C,Turf,True
Calliope,Calliope,QLD,C,Turf,True
Charleville,Charleville,QLD,C,Turf,True
Charters Towers,Charters Towers,QLD,C,Turf,True
Chinchilla,Chinchilla,QLD,C,Turf,True
Clermont,Clermont,QLD,C,Turf,True
Clifton,Clifton,QLD,C,Turf,True
Cloncurry,Cloncurry,QLD,C,Turf,True
Cooktown,Cooktown,QLD,C,Turf,True
Corfield,Corfield,QLD,C,Turf,True
Cunnamulla,Cunnamulla,QLD,C,Turf,True
Dalby,Dalby,QLD,C,Turf,True
Dingo,Dingo,QLD,C,Turf,True
Doomben,Doomben,QLD,M,Turf,True
Eagle Farm,Eagle Farm,QLD,M,Turf,True
Eidsvold,Eidsvold,QLD,C,Turf,True
Einasleigh,Einasleigh,QLD,C,Turf,True
Emerald,Emerald,QLD,C,Turf,True
Esk,Esk,QLD,P,Turf,True
Ewan,Ewan,QLD,C,Turf,True
Flinton,Flinton,QLD,C,Turf,True
Gatton,Gatton,QLD,P,Turf,True
Gayndah,Gayndah,QLD,C,Turf,True
Gladstone,Gladstone,QLD,C,Turf,True
Gold Coast,Gold Coast,QLD,P,Turf,True
Gold Coast Poly,Gold Coast,QLD,P,Synthetic,True
Goondiwindi,Goondiwindi,QLD,C,Turf,True
Gordonvale,Gordonvale,QLD,C,Turf,True
Gregory Downs,Gregory Downs,QLD,C,Turf,True
Gympie,Gympie,QLD,C,Turf,True
